"filename", "language", "Markdown", "XML", "HTML", "CSS", "JSON", "JavaScript", "Java", "Properties", "Batch", "comment", "blank", "total"
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\LICENSE.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\README.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-blue.svg", "XML", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-dark.svg", "XML", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\images\close-light.svg", "XML", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\index.html", "HTML", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 5, 142
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\main.js", "JavaScript", 0, 0, 0, 0, 0, 193, 0, 0, 0, 2, 30, 225
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\event_checker.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\load.js", "JavaScript", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 29, 248
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\math_utils.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 8, 48
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\notify.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 8, 62
"c:\Users\stems\Desktop\FRC\Coding\Web Apps\WebDashboard\javascript\utils\popup\popup.js", "JavaScript", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 33, 232
